Symbol,ScripCode,Company Name,Industry,ISIN Code,Group,MktCap,YF
SPICELOUNG,539895,Spice Lounge Food Works Ltd,,INE631E01024,B,1620.11,SPICELOUNG.BO
SPRAYKING,540079,Sprayking Ltd,,INE537U01037,B,28.53,SPRAYKING.BO
STARLENT,540492,Starlineps Enterprises Ltd,,INE594W01042,B,441.74,STARLENT.BO
STL,540738,Shreeji Translogistics Ltd,,INE402Y01028,B,59.12,STL.BO
TANFACIND,506854,TANFAC Industries Ltd-$,,INE639B01023,B,5527.79,TANFACIND.BO
TGVSL,507753,TGV Sraac Ltd,,INE284B01028,B,1152.82,TGVSL.BO
TRL,541228,Taylormade Renewables Ltd,,INE459Z01017,B,76.79,TRL.BO
UHZAVERI,541338,U. H. Zaveri Ltd,,INE556Z01010,B,31.77,UHZAVERI.BO
UNIAUTO,539314,Universal Autofoundry Ltd,,INE203T01012,B,69.47,UNIAUTO.BO
URSUGAR,539097,UR Sugar Industries Ltd,,INE904R01027,B,14.96,URSUGAR.BO
VISHAL,538598,Vishal Fabrics Ltd,,INE755Q01025,B,447.18,VISHAL.BO
VISHALBL,539398,Vishal Bearings Ltd,,INE060T01024,B,55.5,VISHALBL.BO
VIVIDM,542046,Vivid Mercantile Ltd,,INE647Z01025,B,59.55,VIVIDM.BO
VRFILMS,542654,V R Films & Studios Ltd,,INE06LG01010,B,16.45,VRFILMS.BO
VSL,540252,Viram Suvarn Ltd,,INE607V01028,B,113.01,VSL.BO
